,CityName,City_id,Country,Latitude,Max_Temperature,Humidity,Cloudiness,WindSpeed
404,Dakar,2253354,SN,14.69,78.8,88,20,9.17
405,Lianzhou,1803841,CN,24.79,74.06,94,93,2.39
406,Utete,149070,TZ,-7.99,67.58,86,30,2.55
407,General Pico,3855075,AR,-35.66,40.94,80,67,5.35
408,Palmer,5871146,US,61.6,81.0,41,1,5.82
409,Ouahigouya,2357043,BF,13.58,90.44,32,62,4.68
410,Te Anau,2181625,NZ,-45.41,41.12,86,57,3.6
411,Kungurtug,1501377,RU,50.6,47.24,94,99,2.55
412,Barcelos,3665098,BR,-0.97,74.42,94,35,2.06
413,Nuuk,3421319,GL,64.17,53.6,58,2,8.05
414,Ulladulla,2145554,AU,-35.36,54.0,100,75,10.29
415,Kikwit,2314705,CD,-5.04,75.14,45,81,1.34
416,Ternate,1624041,ID,0.8,81.44,77,51,12.46
417,Foam Lake,5955084,CA,51.65,63.08,60,49,9.24
418,Tezu,1254709,IN,27.93,73.7,96,100,3.65
419,Mogocha,2019912,RU,53.73,52.82,51,99,13.09
420,Dawlatabad,1142226,AF,36.41,65.96,31,0,4.0
421,Natchitoches,4334720,US,31.76,84.2,78,1,3.36
422,Montrose,5431710,US,38.48,95.0,12,1,16.11
423,Nan,1608452,TH,18.78,68.48,99,100,2.3
424,Muros,3115824,ES,42.77,66.2,82,0,3.36
425,Axim,2303611,GH,4.87,76.94,89,100,11.61
426,Peruibe,3454061,BR,-24.32,68.48,94,83,2.42
427,Fort Nelson,5955902,CA,58.81,69.8,40,90,5.82
428,Cockburn Town,3572627,BS,24.03,84.14,67,2,5.68
429,Machiques,3633444,VE,10.06,54.62,83,57,7.14
430,Iskateley,866062,RU,67.68,64.88,72,0,7.96
431,Bull Savanna,3491161,JM,17.89,80.9,79,47,4.38
